PatientID	SampleID
P131888	P131888_S24
P131888	P131888_S25
P131888	P131888_S26
P131888	P131888_S27
P131888	P131888_S28
P131888	P131888_S29
P131888	P131888_S30
P131888	P131888_S31
P131888	P131888_S32
P131888	P131888_S33
P131888	P131888_S34
P137828	P137828_S1
P137828	P137828_S2
P137828	P137828_S3
P137828	P137828_S4
P137828	P137828_S5
P137828	P137828_S6
P137828	P137828_S7
P137828	P137828_S8
P137828	P137828_S9
P137828	P137828_S10
P137828	P137828_S11
P137828	P137828_S12
P137828	P137828_S13
P137828	P137828_S14
P137828	P137828_S15
P137828	P137828_S16
P137828	P137828_S17
P137828	P137828_S18
P137828	P137828_S19
P137828	P137828_S20
P137828	P137828_S21
P137828	P137828_S22
P137828	P137828_S23
P137828	P137828_S24
P137828	P137828_S25
P137828	P137828_S26
P137828	P137828_S27
P137828	P137828_S28
P137828	P137828_S29
P137828	P137828_S30
P137828	P137828_S31
P137828	P137828_S32
P137828	P137828_S33
P137828	P137828_S34
P137828	P137828_S35
P137828	P137828_S36
P137828	P137828_S37
P137828	P137828_S38
P137828	P137828_S39
P137828	P137828_S40
P137828	P137828_S41
P137828	P137828_S42
P137828	P137828_S43
